id,semantic_groups,uri,preflabel,name,synonyms,description
MONDO:0009697,disease,http://purl.obolibrary.org/obo/MONDO_0009697,Lafora disease,Lafora disease,NA,NA
HP:0000726,phenotype,http://purl.obolibrary.org/obo/HP_0000726,Dementia,Dementia,NA,NA
HGNC:2605,gene,https://identifiers.org/HGNC:2605,CYP27A1,cytochrome P450 family 27 subfamily A member 1,CP27|CTX|CYP27,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This mitochondrial protein oxidizes cholesterol intermediates as part of the bile synthesis pathway. Since the conversion of cholesterol to bile acids is the major route for removing cholesterol from the body, this protein is important for overall cholesterol homeostasis. Mutations in this gene cause cerebrotendinous xanthomatosis, a rare autosomal recessive lipid storage disease. [provided by RefSeq, Jul 2008]."
MONDO:0011445,disease,http://purl.obolibrary.org/obo/MONDO_0011445,hereditary spastic paraplegia 11,hereditary spastic paraplegia 11,NA,NA
MONDO:0014568,disease,http://purl.obolibrary.org/obo/MONDO_0014568,hereditary spastic paraplegia 73,hereditary spastic paraplegia 73,NA,NA
MONDO:0011283,disease,http://purl.obolibrary.org/obo/MONDO_0011283,mitochondrial DNA depletion syndrome 1,mitochondrial DNA depletion syndrome 1,NA,NA
HP:0030219,phenotype,http://purl.obolibrary.org/obo/HP_0030219,Semantic dementia,Semantic dementia,NA,NA
HP:0002145,phenotype,http://purl.obolibrary.org/obo/HP_0002145,Frontotemporal dementia,Frontotemporal dementia,NA,NA
MONDO:0007435,disease,http://purl.obolibrary.org/obo/MONDO_0007435,dentatorubral-pallidoluysian atrophy,dentatorubral-pallidoluysian atrophy,NA,NA
HGNC:620,gene,https://identifiers.org/HGNC:620,APP,amyloid beta precursor protein,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4,"This gene encodes a cell surface receptor and transmembrane precursor protein that is cleaved by secretases to form a number of peptides. Some of these peptides are secreted and can bind to the acetyltransferase complex APBB1/TIP60 to promote transcriptional activation, while others form the protein basis of the amyloid plaques found in the brains of patients with Alzheimer disease. In addition, two of the peptides are antimicrobial peptides, having been shown to have bacteriocidal and antifungal activities. Mutations in this gene have been implicated in autosomal dominant Alzheimer disease and cerebroarterial amyloidosis (cerebral amyloid angiopathy). Multiple transcript variants encoding several different isoforms have been found for this gene. [provided by RefSeq, Aug 2014]."
MONDO:0015140,disease,http://purl.obolibrary.org/obo/MONDO_0015140,early-onset autosomal dominant Alzheimer disease,early-onset autosomal dominant Alzheimer disease,NA,NA
HGNC:9449,gene,https://identifiers.org/HGNC:9449,PRNP,prion protein (Kanno blood group),ASCR|AltPrP|CD230|CJD|GSS|KURU|PRIP|PrP|PrP27-30|PrP33-35C|PrPc|p27-30,"The protein encoded by this gene is a membrane glycosylphosphatidylinositol-anchored glycoprotein that tends to aggregate into rod-like structures. The encoded protein contains a highly unstable region of five tandem octapeptide repeats. This gene is found on chromosome 20, approximately 20 kbp upstream of a gene which encodes a biochemically and structurally similar protein to the one encoded by this gene. Mutations in the repeat region as well as elsewhere in this gene have been associated with Creutzfeldt-Jakob disease, fatal familial insomnia, Gerstmann-Straussler disease, Huntington disease-like 1, and kuru. An overlapping open reading frame has been found for this gene that encodes a smaller, structurally unrelated protein, AltPrp. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2014]."
HGNC:13308,gene,https://identifiers.org/HGNC:13308,GPRC5B,G protein-coupled receptor class C group 5 member B,MLC3|RAIG-2|RAIG2,"This gene encodes a member of the type 3 G protein-coupled receptor family. Members of this superfamily are characterized by a signature 7-transmembrane domain motif. The encoded protein may modulate insulin secretion and increased protein expression is associated with type 2 diabetes. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2015]."
MONDO:0012867,disease,http://purl.obolibrary.org/obo/MONDO_0012867,hereditary spastic paraplegia 38,hereditary spastic paraplegia 38,NA,NA
MONDO:0008134,disease,http://purl.obolibrary.org/obo/MONDO_0008134,"autosomal dominant optic atrophy, classic form","autosomal dominant optic atrophy, classic form",NA,NA
HGNC:11588,gene,https://identifiers.org/HGNC:11588,TBP,TATA-box binding protein,GTF2D|GTF2D1|HDL4|SCA17|TBP1|TFIID,"Initiation of transcription by RNA polymerase II requires the activities of more than 70 polypeptides. The protein that coordinates these activities is transcription factor IID (TFIID), which binds to the core promoter to position the polymerase properly, serves as the scaffold for assembly of the remainder of the transcription complex, and acts as a channel for regulatory signals. TFIID is composed of the TATA-binding protein (TBP) and a group of evolutionarily conserved proteins known as TBP-associated factors or TAFs. TAFs may participate in basal transcription, serve as coactivators, function in promoter recognition or modify general transcription factors (GTFs) to facilitate complex assembly and transcription initiation. This gene encodes TBP, the TATA-binding protein. A distinctive feature of TBP is a long string of glutamines in the N-terminus. This region of the protein modulates the DNA binding activity of the C terminus, and modulation of DNA binding affects the rate of transcription complex formation and initiation of transcription. The number of CAG repeats encoding the polyglutamine tract is usually 25-42, and expansion of the number of repeats to 45-66 increases the length of the polyglutamine string and is associated with spinocerebellar ataxia 17, a neurodegenerative disorder classified as a polyglutamine disease. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2016]."
HP:0000727,phenotype,http://purl.obolibrary.org/obo/HP_0000727,Frontal lobe dementia,Frontal lobe dementia,NA,NA
MONDO:0800027,disease,http://purl.obolibrary.org/obo/MONDO_0800027,"leukoencephalopathy, diffuse hereditary, with spheroids 1","leukoencephalopathy, diffuse hereditary, with spheroids 1",NA,NA
HGNC:3436,gene,https://identifiers.org/HGNC:3436,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit",ERCC11|FANCQ|RAD1|XFEPS|XPF,"The protein encoded by this gene forms a complex with ERCC1 and is involved in the 5' incision made during nucleotide excision repair. This complex is a structure specific DNA repair endonuclease that interacts with EME1. Defects in this gene are a cause of xeroderma pigmentosum complementation group F (XP-F), or xeroderma pigmentosum VI (XP6).[provided by RefSeq, Mar 2009]."
MONDO:0030885,disease,http://purl.obolibrary.org/obo/MONDO_0030885,amyotrophic lateral sclerosis 26 with or without frontotemporal dementia,amyotrophic lateral sclerosis 26 with or without frontotemporal dementia,NA,NA
MONDO:0014866,disease,http://purl.obolibrary.org/obo/MONDO_0014866,Charcot-Marie-Tooth disease axonal type 2T,Charcot-Marie-Tooth disease axonal type 2T,NA,NA
MONDO:0016545,disease,http://purl.obolibrary.org/obo/MONDO_0016545,leukoencephalopathy-palmoplantar keratoderma syndrome,leukoencephalopathy-palmoplantar keratoderma syndrome,NA,NA
HGNC:7678,gene,https://identifiers.org/HGNC:7678,NDP,norrin cystine knot growth factor NDP,EVR2|FEVR|ND,"This gene encodes a secreted protein with a cystein-knot motif that activates the Wnt/beta-catenin pathway. The protein forms disulfide-linked oligomers in the extracellular matrix. Mutations in this gene result in Norrie disease and X-linked exudative vitreoretinopathy. [provided by RefSeq, Feb 2009]."
HGNC:12449,gene,https://identifiers.org/HGNC:12449,TYROBP,transmembrane immune signaling adaptor TYROBP,DAP12|KARAP|PLOSL|PLOSL1,"This gene encodes a transmembrane signaling polypeptide which contains an immunoreceptor tyrosine-based activation motif (ITAM) in its cytoplasmic domain. The encoded protein may associate with the killer-cell inhibitory receptor (KIR) family of membrane glycoproteins and may act as an activating signal transduction element. This protein may bind zeta-chain (TCR) associated protein kinase 70kDa (ZAP-70) and spleen tyrosine kinase (SYK) and play a role in signal transduction, bone modeling, brain myelination, and inflammation. Mutations within this gene have been associated with polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy (PLOSL), also known as Nasu-Hakola disease. Its putative receptor, triggering receptor expressed on myeloid cells 2 (TREM2), also causes PLOSL. Multiple alternative transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Mar 2010]."
HGNC:21698,gene,https://identifiers.org/HGNC:21698,RNF216,ring finger protein 216,CAHH|TRIAD3|U7I1|UBCE7IP1|ZIN,"This gene encodes a cytoplasmic protein which specifically colocalizes and interacts with the serine/threonine protein kinase, receptor-interacting protein (RIP). Zinc finger domains of the encoded protein are required for its interaction with RIP and for inhibition of TNF- and IL1-induced NF-kappa B activation pathways. The encoded protein may also function as an E3 ubiquitin-protein ligase which accepts ubiquitin from E2 ubiquitin-conjugating enzymes and transfers it to substrates. Several alternatively spliced transcript variants have been described for this locus but the full-length natures of only some are known. [provided by RefSeq, Jul 2008]."
HGNC:2976,gene,https://identifiers.org/HGNC:2976,DNMT1,DNA methyltransferase 1,ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT|m.HsaI,"This gene encodes an enzyme that transfers methyl groups to cytosine nucleotides of genomic DNA. This protein is the major enzyme responsible for maintaining methylation patterns following DNA replication and shows a preference for hemi-methylated DNA. Methylation of DNA is an important component of mammalian epigenetic gene regulation. Aberrant methylation patterns are found in human tumors and associated with developmental abnormalities. Variation in this gene has been associated with cerebellar ataxia, deafness, and narcolepsy, and neuropathy, hereditary sensory, type IE. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016]."
HGNC:9509,gene,https://identifiers.org/HGNC:9509,PSEN2,presenilin 2,AD3L|AD4|CMD1V|PS2|STM2,"Alzheimer's disease (AD) patients with an inherited form of the disease carry mutations in the presenilin proteins (PSEN1 or PSEN2) or the amyloid precursor protein (APP). These disease-linked mutations result in increased production of the longer form of amyloid-beta (main component of amyloid deposits found in AD brains). Presenilins are postulated to regulate APP processing through their effects on gamma-secretase, an enzyme that cleaves APP. Also, it is thought that the presenilins are involved in the cleavage of the Notch receptor such that, they either directly regulate gamma-secretase activity, or themselves act are protease enzymes. Two alternatively spliced transcript variants encoding different isoforms of PSEN2 have been identified. [provided by RefSeq, Jul 2008]."
MONDO:0007182,disease,http://purl.obolibrary.org/obo/MONDO_0007182,Machado-Joseph disease,Machado-Joseph disease,NA,NA
MONDO:0011426,disease,http://purl.obolibrary.org/obo/MONDO_0011426,aceruloplasminemia,aceruloplasminemia,NA,NA
MONDO:0010794,disease,http://purl.obolibrary.org/obo/MONDO_0010794,NARP syndrome,NARP syndrome,NA,NA
