id,semantic_groups,uri,preflabel,name,synonyms,description
HGNC:19714,gene,https://identifiers.org/HGNC:19714,DDHD1,DDHD domain containing 1,PA-PLA1|PAPLA1|SPG28|iPLA1I|iPLA1alpha,"This gene is a member of the intracellular phospholipase A1 gene family. The protein encoded by this gene preferentially hydrolyzes phosphatidic acid. It is a cytosolic protein with some mitochondrial localization, and is thought to be involved in the regulation of mitochondrial dynamics. Overexpression of this gene causes fragmentation of the tubular structures in mitochondria, while depletion of the gene results in mitochondrial tubule elongation. Deletion of this gene in male mice caused fertility defects, resulting from disruption in the organization of the mitochondria during spermiogenesis. In humans, mutations in this gene have been associated with hereditary spastic paraplegia (HSP), also known as Strumpell-Lorrain disease, or, familial spastic paraparesis (FSP). This inherited disorder is characterized by progressive weakness and spasticity of the legs. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2015]."
HP:0003487,phenotype,http://purl.obolibrary.org/obo/HP_0003487,Babinski sign,Babinski sign,NA,NA
MONDO:0018868,disease,http://purl.obolibrary.org/obo/MONDO_0018868,metachromatic leukodystrophy,metachromatic leukodystrophy,NA,NA
HP:0000726,phenotype,http://purl.obolibrary.org/obo/HP_0000726,Dementia,Dementia,NA,NA
HGNC:28908,gene,https://identifiers.org/HGNC:28908,DNAJC12,DnaJ heat shock protein family (Hsp40) member C12,HPANBH4|JDP1,"This gene encodes a member of a subclass of the HSP40/DnaJ protein family. Members of this family of proteins are associated with complex assembly, protein folding, and export. Two transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008]."
HP:0001300,phenotype,http://purl.obolibrary.org/obo/HP_0001300,Parkinsonism,Parkinsonism,NA,NA
HGNC:15559,gene,https://identifiers.org/HGNC:15559,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,C22orf16|FTDALS2|IMMD|MIX17A|N27C7-4|SMAJ,"This gene encodes a mitochondrial protein that is enriched at cristae junctions in the intermembrane space. It may play a role in cristae morphology maintenance or oxidative phosphorylation. Mutations in this gene cause frontotemporal dementia and/or amyotrophic lateral sclerosis-2. Alternative splicing of this gene results in multiple transcript variants. Related pseudogenes have been identified on chromosomes 7 and 19. [provided by RefSeq, Aug 2014]."
HP:0000727,phenotype,http://purl.obolibrary.org/obo/HP_0000727,Frontal lobe dementia,Frontal lobe dementia,NA,NA
MONDO:0012103,disease,http://purl.obolibrary.org/obo/MONDO_0012103,spinocerebellar ataxia type 25,spinocerebellar ataxia type 25,NA,NA
MONDO:0011330,disease,http://purl.obolibrary.org/obo/MONDO_0011330,spinocerebellar ataxia type 10,spinocerebellar ataxia type 10,NA,NA
