id,semantic_groups,uri,preflabel,name,synonyms,description
MONDO:0011638,phenotype,http://purl.obolibrary.org/obo/MONDO_0011638,MONDO:0011638,MONDO:0011638,NA,NA
HP:0000726,phenotype,http://purl.obolibrary.org/obo/HP_0000726,HP:0000726,HP:0000726,NA,NA
MONDO:0010997,phenotype,http://purl.obolibrary.org/obo/MONDO_0010997,MONDO:0010997,MONDO:0010997,NA,NA
HP:0002185,phenotype,http://purl.obolibrary.org/obo/HP_0002185,HP:0002185,HP:0002185,NA,NA
MONDO:0957538,phenotype,http://purl.obolibrary.org/obo/MONDO_0957538,MONDO:0957538,MONDO:0957538,NA,NA
HP:0003487,phenotype,http://purl.obolibrary.org/obo/HP_0003487,HP:0003487,HP:0003487,NA,NA
MONDO:0010877,phenotype,http://purl.obolibrary.org/obo/MONDO_0010877,MONDO:0010877,MONDO:0010877,NA,NA
MONDO:0011327,phenotype,http://purl.obolibrary.org/obo/MONDO_0011327,MONDO:0011327,MONDO:0011327,NA,NA
HGNC:15894,gene,https://identifiers.org/HGNC:15894,HGNC:15894,HGNC:15894,NA,NA
HP:0002423,phenotype,http://purl.obolibrary.org/obo/HP_0002423,HP:0002423,HP:0002423,NA,NA
HGNC:6218,gene,https://identifiers.org/HGNC:6218,HGNC:6218,HGNC:6218,NA,NA
MONDO:0018996,phenotype,http://purl.obolibrary.org/obo/MONDO_0018996,MONDO:0018996,MONDO:0018996,NA,NA
HGNC:25875,gene,https://identifiers.org/HGNC:25875,HGNC:25875,HGNC:25875,NA,NA
MONDO:0009843,phenotype,http://purl.obolibrary.org/obo/MONDO_0009843,MONDO:0009843,MONDO:0009843,NA,NA
HP:0007256,phenotype,http://purl.obolibrary.org/obo/HP_0007256,HP:0007256,HP:0007256,NA,NA
MONDO:0014004,phenotype,http://purl.obolibrary.org/obo/MONDO_0014004,MONDO:0014004,MONDO:0014004,NA,NA
MONDO:0009863,phenotype,http://purl.obolibrary.org/obo/MONDO_0009863,MONDO:0009863,MONDO:0009863,NA,NA
HP:0001300,phenotype,http://purl.obolibrary.org/obo/HP_0001300,HP:0001300,HP:0001300,NA,NA
HGNC:10935,gene,https://identifiers.org/HGNC:10935,HGNC:10935,HGNC:10935,NA,NA
MONDO:0018982,phenotype,http://purl.obolibrary.org/obo/MONDO_0018982,MONDO:0018982,MONDO:0018982,NA,NA
HGNC:2976,gene,https://identifiers.org/HGNC:2976,HGNC:2976,HGNC:2976,NA,NA
MONDO:0008437,phenotype,http://purl.obolibrary.org/obo/MONDO_0008437,MONDO:0008437,MONDO:0008437,NA,NA
HGNC:13586,gene,https://identifiers.org/HGNC:13586,HGNC:13586,HGNC:13586,NA,NA
HP:0002548,phenotype,http://purl.obolibrary.org/obo/HP_0002548,HP:0002548,HP:0002548,NA,NA
MONDO:0018006,phenotype,http://purl.obolibrary.org/obo/MONDO_0018006,MONDO:0018006,MONDO:0018006,NA,NA
MONDO:0020749,phenotype,http://purl.obolibrary.org/obo/MONDO_0020749,MONDO:0020749,MONDO:0020749,NA,NA
HP:0000727,phenotype,http://purl.obolibrary.org/obo/HP_0000727,HP:0000727,HP:0000727,NA,NA
MONDO:0014882,phenotype,http://purl.obolibrary.org/obo/MONDO_0014882,MONDO:0014882,MONDO:0014882,NA,NA
MONDO:0026720,phenotype,http://purl.obolibrary.org/obo/MONDO_0026720,MONDO:0026720,MONDO:0026720,NA,NA
MONDO:0008963,phenotype,http://purl.obolibrary.org/obo/MONDO_0008963,MONDO:0008963,MONDO:0008963,NA,NA
HGNC:613,gene,https://identifiers.org/HGNC:613,HGNC:613,HGNC:613,NA,NA
HGNC:15559,gene,https://identifiers.org/HGNC:15559,HGNC:15559,HGNC:15559,NA,NA
MONDO:0016591,phenotype,http://purl.obolibrary.org/obo/MONDO_0016591,MONDO:0016591,MONDO:0016591,NA,NA
HGNC:10555,gene,https://identifiers.org/HGNC:10555,HGNC:10555,HGNC:10555,NA,NA
MONDO:0007803,phenotype,http://purl.obolibrary.org/obo/MONDO_0007803,MONDO:0007803,MONDO:0007803,NA,NA
HGNC:9689,gene,https://identifiers.org/HGNC:9689,HGNC:9689,HGNC:9689,NA,NA
MONDO:0010857,phenotype,http://purl.obolibrary.org/obo/MONDO_0010857,MONDO:0010857,MONDO:0010857,NA,NA
MONDO:0007297,phenotype,http://purl.obolibrary.org/obo/MONDO_0007297,MONDO:0007297,MONDO:0007297,NA,NA
MONDO:0014864,phenotype,http://purl.obolibrary.org/obo/MONDO_0014864,MONDO:0014864,MONDO:0014864,NA,NA
MONDO:0016810,phenotype,http://purl.obolibrary.org/obo/MONDO_0016810,MONDO:0016810,MONDO:0016810,NA,NA
MONDO:0013208,phenotype,http://purl.obolibrary.org/obo/MONDO_0013208,MONDO:0013208,MONDO:0013208,NA,NA
MONDO:0018637,phenotype,http://purl.obolibrary.org/obo/MONDO_0018637,MONDO:0018637,MONDO:0018637,NA,NA
MONDO:0011551,phenotype,http://purl.obolibrary.org/obo/MONDO_0011551,MONDO:0011551,MONDO:0011551,NA,NA
HGNC:620,gene,https://identifiers.org/HGNC:620,HGNC:620,HGNC:620,NA,NA
HP:0002511,phenotype,http://purl.obolibrary.org/obo/HP_0002511,HP:0002511,HP:0002511,NA,NA
HGNC:5033,gene,https://identifiers.org/HGNC:5033,HGNC:5033,HGNC:5033,NA,NA
HP:0002145,phenotype,http://purl.obolibrary.org/obo/HP_0002145,HP:0002145,HP:0002145,NA,NA
HGNC:53924,gene,https://identifiers.org/HGNC:53924,HGNC:53924,HGNC:53924,NA,NA
MONDO:0016564,phenotype,http://purl.obolibrary.org/obo/MONDO_0016564,MONDO:0016564,MONDO:0016564,NA,NA
HGNC:9039,gene,https://identifiers.org/HGNC:9039,HGNC:9039,HGNC:9039,NA,NA
HGNC:11584,gene,https://identifiers.org/HGNC:11584,HGNC:11584,HGNC:11584,NA,NA
MONDO:0008767,phenotype,http://purl.obolibrary.org/obo/MONDO_0008767,MONDO:0008767,MONDO:0008767,NA,NA
MONDO:0017809,phenotype,http://purl.obolibrary.org/obo/MONDO_0017809,MONDO:0017809,MONDO:0017809,NA,NA
MONDO:0032814,phenotype,http://purl.obolibrary.org/obo/MONDO_0032814,MONDO:0032814,MONDO:0032814,NA,NA
MONDO:0011785,phenotype,http://purl.obolibrary.org/obo/MONDO_0011785,MONDO:0011785,MONDO:0011785,NA,NA
MONDO:0013485,phenotype,http://purl.obolibrary.org/obo/MONDO_0013485,MONDO:0013485,MONDO:0013485,NA,NA
MONDO:0011764,phenotype,http://purl.obolibrary.org/obo/MONDO_0011764,MONDO:0011764,MONDO:0011764,NA,NA
HGNC:9437,gene,https://identifiers.org/HGNC:9437,HGNC:9437,HGNC:9437,NA,NA
HGNC:7106,gene,https://identifiers.org/HGNC:7106,HGNC:7106,HGNC:7106,NA,NA
MONDO:0019977,phenotype,http://purl.obolibrary.org/obo/MONDO_0019977,MONDO:0019977,MONDO:0019977,NA,NA
MONDO:0013049,phenotype,http://purl.obolibrary.org/obo/MONDO_0013049,MONDO:0013049,MONDO:0013049,NA,NA
HGNC:26006,gene,https://identifiers.org/HGNC:26006,HGNC:26006,HGNC:26006,NA,NA
HGNC:28337,gene,https://identifiers.org/HGNC:28337,HGNC:28337,HGNC:28337,NA,NA
MONDO:0014899,phenotype,http://purl.obolibrary.org/obo/MONDO_0014899,MONDO:0014899,MONDO:0014899,NA,NA
MONDO:0030805,phenotype,http://purl.obolibrary.org/obo/MONDO_0030805,MONDO:0030805,MONDO:0030805,NA,NA
HGNC:4177,gene,https://identifiers.org/HGNC:4177,HGNC:4177,HGNC:4177,NA,NA
MONDO:0010733,phenotype,http://purl.obolibrary.org/obo/MONDO_0010733,MONDO:0010733,MONDO:0010733,NA,NA
MONDO:0011397,phenotype,http://purl.obolibrary.org/obo/MONDO_0011397,MONDO:0011397,MONDO:0011397,NA,NA
MONDO:0008436,phenotype,http://purl.obolibrary.org/obo/MONDO_0008436,MONDO:0008436,MONDO:0008436,NA,NA
MONDO:0016563,phenotype,http://purl.obolibrary.org/obo/MONDO_0016563,MONDO:0016563,MONDO:0016563,NA,NA
MONDO:0008947,phenotype,http://purl.obolibrary.org/obo/MONDO_0008947,MONDO:0008947,MONDO:0008947,NA,NA
HGNC:14203,gene,https://identifiers.org/HGNC:14203,HGNC:14203,HGNC:14203,NA,NA
HP:0007123,phenotype,http://purl.obolibrary.org/obo/HP_0007123,HP:0007123,HP:0007123,NA,NA
HGNC:25964,gene,https://identifiers.org/HGNC:25964,HGNC:25964,HGNC:25964,NA,NA
MONDO:0016562,phenotype,http://purl.obolibrary.org/obo/MONDO_0016562,MONDO:0016562,MONDO:0016562,NA,NA
MONDO:0011913,phenotype,http://purl.obolibrary.org/obo/MONDO_0011913,MONDO:0011913,MONDO:0011913,NA,NA
MONDO:0016594,phenotype,http://purl.obolibrary.org/obo/MONDO_0016594,MONDO:0016594,MONDO:0016594,NA,NA
HGNC:11571,gene,https://identifiers.org/HGNC:11571,HGNC:11571,HGNC:11571,NA,NA
HGNC:1160,gene,https://identifiers.org/HGNC:1160,HGNC:1160,HGNC:1160,NA,NA
HGNC:4367,gene,https://identifiers.org/HGNC:4367,HGNC:4367,HGNC:4367,NA,NA
HGNC:10947,gene,https://identifiers.org/HGNC:10947,HGNC:10947,HGNC:10947,NA,NA
MONDO:0033614,phenotype,http://purl.obolibrary.org/obo/MONDO_0033614,MONDO:0033614,MONDO:0033614,NA,NA
MONDO:0957874,phenotype,http://purl.obolibrary.org/obo/MONDO_0957874,MONDO:0957874,MONDO:0957874,NA,NA
HGNC:9449,gene,https://identifiers.org/HGNC:9449,HGNC:9449,HGNC:9449,NA,NA
MONDO:0044737,phenotype,http://purl.obolibrary.org/obo/MONDO_0044737,MONDO:0044737,MONDO:0044737,NA,NA
