target_id,target_name,target_iri,target_category,interaction_id,interaction_types,interaction_iri,drug_id,drug_name,drug_iri,drug_category,pm_ids,sources,score
hgnc:20,NA,NA,gene,RO:0002408,['inhibitor'],http://purl.obolibrary.org/obo/RO_0002408,rxcui:7818,OXYPHENONIUM,https://identifiers.org/rxcui:7818,drug,[],['GuideToPharmacology'],0.2966124918118496
hgnc:20,NA,NA,gene,RO:0011002,['modulator'],http://purl.obolibrary.org/obo/RO_0011002,iuphar.ligand:344,N-CHLOROMETHYL-BRUCINE,https://identifiers.org/iuphar.ligand:344,drug,[],['GuideToPharmacology'],0.1186449967247398
hgnc:20,NA,NA,gene,RO:0011002,['modulator'],http://purl.obolibrary.org/obo/RO_0011002,iuphar.ligand:332,N-BENZYL BRUCINE,https://identifiers.org/iuphar.ligand:332,drug,[],['GuideToPharmacology'],0.1186449967247398
hgnc:20,NA,NA,gene,RO:0002408,['inhibitor'],http://purl.obolibrary.org/obo/RO_0002408,rxcui:136198,DARIFENACIN,https://identifiers.org/rxcui:136198,drug,[],['GuideToPharmacology'],0.0741531229529624
hgnc:20,NA,NA,gene,RO:0002408,['inhibitor'],http://purl.obolibrary.org/obo/RO_0002408,rxcui:203168,AMITRIPTYLINE HYDROCHLORIDE,https://identifiers.org/rxcui:203168,drug,[],['GuideToPharmacology'],0.01318277741385998
hgnc:20,NA,NA,gene,RO:0002408,['inhibitor'],http://purl.obolibrary.org/obo/RO_0002408,rxcui:9601,SCOPOLAMINE,https://identifiers.org/rxcui:9601,drug,[],['GuideToPharmacology'],0.0741531229529624
hgnc:20,NA,NA,gene,RO:0011002,['modulator'],http://purl.obolibrary.org/obo/RO_0011002,iuphar.ligand:341,ALCURONIUM,https://identifiers.org/iuphar.ligand:341,drug,[],['GuideToPharmacology'],0.1483062459059248
hgnc:20,NA,NA,gene,RO:0002406,['agonist'],http://purl.obolibrary.org/obo/RO_0002406,iuphar.ligand:303,OXOTREMORINE-M,https://identifiers.org/iuphar.ligand:303,drug,[],['GuideToPharmacology'],0.1483062459059248
hgnc:20,NA,NA,gene,RO:0002408,['inhibitor'],http://purl.obolibrary.org/obo/RO_0002408,rxcui:10869,TROPICAMIDE,https://identifiers.org/rxcui:10869,drug,[],['GuideToPharmacology'],0.05392954396579084
hgnc:20,NA,NA,gene,RO:0011002,['modulator'],http://purl.obolibrary.org/obo/RO_0011002,rxcui:11201,VINCAMINE,https://identifiers.org/rxcui:11201,drug,[],['GuideToPharmacology'],0.1186449967247398
hgnc:20,NA,NA,gene,RO:0002408,['inhibitor'],http://purl.obolibrary.org/obo/RO_0002408,rxcui:322167,SOLIFENACIN,https://identifiers.org/rxcui:322167,drug,[],['GuideToPharmacology'],0.05932249836236992
hgnc:20,NA,NA,gene,RO:0002408,['inhibitor'],http://purl.obolibrary.org/obo/RO_0002408,rxcui:32675,OXYBUTYNIN,https://identifiers.org/rxcui:32675,drug,[],['GuideToPharmacology'],0.05392954396579084
hgnc:20,NA,NA,gene,RO:0002408,['inhibitor'],http://purl.obolibrary.org/obo/RO_0002408,iuphar.ligand:309,OTENZEPAD,https://identifiers.org/iuphar.ligand:309,drug,[],['GuideToPharmacology'],0.1186449967247398
