id,semantic_groups,uri,preflabel,name,synonyms,description
hgnc:20,gene,NA,NA,NA,NA,NA
rxcui:7818,drug,https://identifiers.org/rxcui:7818,OXYPHENONIUM,OXYPHENONIUM,NA,NA
iuphar.ligand:344,drug,https://identifiers.org/iuphar.ligand:344,N-CHLOROMETHYL-BRUCINE,N-CHLOROMETHYL-BRUCINE,NA,NA
iuphar.ligand:332,drug,https://identifiers.org/iuphar.ligand:332,N-BENZYL BRUCINE,N-BENZYL BRUCINE,NA,NA
rxcui:136198,drug,https://identifiers.org/rxcui:136198,DARIFENACIN,DARIFENACIN,NA,NA
rxcui:203168,drug,https://identifiers.org/rxcui:203168,AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,NA,NA
rxcui:9601,drug,https://identifiers.org/rxcui:9601,SCOPOLAMINE,SCOPOLAMINE,NA,NA
iuphar.ligand:341,drug,https://identifiers.org/iuphar.ligand:341,ALCURONIUM,ALCURONIUM,NA,NA
iuphar.ligand:303,drug,https://identifiers.org/iuphar.ligand:303,OXOTREMORINE-M,OXOTREMORINE-M,NA,NA
rxcui:10869,drug,https://identifiers.org/rxcui:10869,TROPICAMIDE,TROPICAMIDE,NA,NA
rxcui:11201,drug,https://identifiers.org/rxcui:11201,VINCAMINE,VINCAMINE,NA,NA
rxcui:322167,drug,https://identifiers.org/rxcui:322167,SOLIFENACIN,SOLIFENACIN,NA,NA
rxcui:32675,drug,https://identifiers.org/rxcui:32675,OXYBUTYNIN,OXYBUTYNIN,NA,NA
iuphar.ligand:309,drug,https://identifiers.org/iuphar.ligand:309,OTENZEPAD,OTENZEPAD,NA,NA
iuphar.ligand:11498,drug,https://identifiers.org/iuphar.ligand:11498,PD 102807,PD 102807,NA,NA
ncit:C152278,drug,https://identifiers.org/ncit:C152278,SABCOMELINE,SABCOMELINE,NA,NA
iuphar.ligand:6937,drug,https://identifiers.org/iuphar.ligand:6937,IPEROXO,IPEROXO,NA,NA
ncit:C132273,drug,https://identifiers.org/ncit:C132273,MILAMELINE,MILAMELINE,NA,NA
iuphar.ligand:322,drug,https://identifiers.org/iuphar.ligand:322,HEXAHYDRODIFENIDOL,HEXAHYDRODIFENIDOL,NA,NA
ncit:C81044,drug,https://identifiers.org/ncit:C81044,ACECLIDINE,ACECLIDINE,NA,NA
rxcui:1223,drug,https://identifiers.org/rxcui:1223,ATROPINE,ATROPINE,NA,NA
iuphar.ligand:8584,drug,https://identifiers.org/iuphar.ligand:8584,AQ-RA 741,AQ-RA 741,NA,NA
ncit:C152880,drug,https://identifiers.org/ncit:C152880,VINBURNINE,VINBURNINE,NA,NA
rxcui:235426,drug,https://identifiers.org/rxcui:235426,PILOCARPINE HYDROCHLORIDE,PILOCARPINE HYDROCHLORIDE,NA,NA
iuphar.ligand:11499,drug,https://identifiers.org/iuphar.ligand:11499,PCS1055,PCS1055,NA,NA
