id,semantic_groups,uri,preflabel,name,synonyms,description
MONDO:0030673,phenotype,http://purl.obolibrary.org/obo/MONDO_0030673,MONDO:0030673,MONDO:0030673,NA,NA
HP:0002540,phenotype,http://purl.obolibrary.org/obo/HP_0002540,HP:0002540,HP:0002540,NA,NA
MONDO:0011426,phenotype,http://purl.obolibrary.org/obo/MONDO_0011426,MONDO:0011426,MONDO:0011426,NA,NA
HP:0000643,phenotype,http://purl.obolibrary.org/obo/HP_0000643,HP:0000643,HP:0000643,NA,NA
MONDO:0017729,phenotype,http://purl.obolibrary.org/obo/MONDO_0017729,MONDO:0017729,MONDO:0017729,NA,NA
HP:0001332,phenotype,http://purl.obolibrary.org/obo/HP_0001332,HP:0001332,HP:0001332,NA,NA
MONDO:0032788,phenotype,http://purl.obolibrary.org/obo/MONDO_0032788,MONDO:0032788,MONDO:0032788,NA,NA
HGNC:2372,gene,https://identifiers.org/HGNC:2372,HGNC:2372,HGNC:2372,NA,NA
MONDO:0054782,phenotype,http://purl.obolibrary.org/obo/MONDO_0054782,MONDO:0054782,MONDO:0054782,NA,NA
HP:0002505,phenotype,http://purl.obolibrary.org/obo/HP_0002505,HP:0002505,HP:0002505,NA,NA
HGNC:14537,gene,https://identifiers.org/HGNC:14537,HGNC:14537,HGNC:14537,NA,NA
HGNC:2510,gene,https://identifiers.org/HGNC:2510,HGNC:2510,HGNC:2510,NA,NA
HGNC:20597,gene,https://identifiers.org/HGNC:20597,HGNC:20597,HGNC:20597,NA,NA
MONDO:0060578,phenotype,http://purl.obolibrary.org/obo/MONDO_0060578,MONDO:0060578,MONDO:0060578,NA,NA
MONDO:0007163,phenotype,http://purl.obolibrary.org/obo/MONDO_0007163,MONDO:0007163,MONDO:0007163,NA,NA
HP:0000473,phenotype,http://purl.obolibrary.org/obo/HP_0000473,HP:0000473,HP:0000473,NA,NA
HGNC:20856,gene,https://identifiers.org/HGNC:20856,HGNC:20856,HGNC:20856,NA,NA
HP:0012048,phenotype,http://purl.obolibrary.org/obo/HP_0012048,HP:0012048,HP:0012048,NA,NA
HGNC:2079,gene,https://identifiers.org/HGNC:2079,HGNC:2079,HGNC:2079,NA,NA
MONDO:0010466,phenotype,http://purl.obolibrary.org/obo/MONDO_0010466,MONDO:0010466,MONDO:0010466,NA,NA
MONDO:0013813,phenotype,http://purl.obolibrary.org/obo/MONDO_0013813,MONDO:0013813,MONDO:0013813,NA,NA
HP:0012049,phenotype,http://purl.obolibrary.org/obo/HP_0012049,HP:0012049,HP:0012049,NA,NA
HGNC:6180,gene,https://identifiers.org/HGNC:6180,HGNC:6180,HGNC:6180,NA,NA
MONDO:0007493,phenotype,http://purl.obolibrary.org/obo/MONDO_0007493,MONDO:0007493,MONDO:0007493,NA,NA
HP:0007325,phenotype,http://purl.obolibrary.org/obo/HP_0007325,HP:0007325,HP:0007325,NA,NA
HGNC:5144,gene,https://identifiers.org/HGNC:5144,HGNC:5144,HGNC:5144,NA,NA
MONDO:0009281,phenotype,http://purl.obolibrary.org/obo/MONDO_0009281,MONDO:0009281,MONDO:0009281,NA,NA
MONDO:0060759,phenotype,http://purl.obolibrary.org/obo/MONDO_0060759,MONDO:0060759,MONDO:0060759,NA,NA
HGNC:3151,gene,https://identifiers.org/HGNC:3151,HGNC:3151,HGNC:3151,NA,NA
MONDO:0014512,phenotype,http://purl.obolibrary.org/obo/MONDO_0014512,MONDO:0014512,MONDO:0014512,NA,NA
MONDO:0033367,phenotype,http://purl.obolibrary.org/obo/MONDO_0033367,MONDO:0033367,MONDO:0033367,NA,NA
MONDO:0015004,phenotype,http://purl.obolibrary.org/obo/MONDO_0015004,MONDO:0015004,MONDO:0015004,NA,NA
MONDO:0010100,phenotype,http://purl.obolibrary.org/obo/MONDO_0010100,MONDO:0010100,MONDO:0010100,NA,NA
HGNC:9039,gene,https://identifiers.org/HGNC:9039,HGNC:9039,HGNC:9039,NA,NA
HGNC:11758,gene,https://identifiers.org/HGNC:11758,HGNC:11758,HGNC:11758,NA,NA
MONDO:0007739,phenotype,http://purl.obolibrary.org/obo/MONDO_0007739,MONDO:0007739,MONDO:0007739,NA,NA
HP:0002141,phenotype,http://purl.obolibrary.org/obo/HP_0002141,HP:0002141,HP:0002141,NA,NA
MONDO:0014882,phenotype,http://purl.obolibrary.org/obo/MONDO_0014882,MONDO:0014882,MONDO:0014882,NA,NA
HGNC:9701,gene,https://identifiers.org/HGNC:9701,HGNC:9701,HGNC:9701,NA,NA
MONDO:0010080,phenotype,http://purl.obolibrary.org/obo/MONDO_0010080,MONDO:0010080,MONDO:0010080,NA,NA
MONDO:0018020,phenotype,http://purl.obolibrary.org/obo/MONDO_0018020,MONDO:0018020,MONDO:0018020,NA,NA
MONDO:0044714,phenotype,http://purl.obolibrary.org/obo/MONDO_0044714,MONDO:0044714,MONDO:0044714,NA,NA
MONDO:0007495,phenotype,http://purl.obolibrary.org/obo/MONDO_0007495,MONDO:0007495,MONDO:0007495,NA,NA
MONDO:0013638,phenotype,http://purl.obolibrary.org/obo/MONDO_0013638,MONDO:0013638,MONDO:0013638,NA,NA
HGNC:4982,gene,https://identifiers.org/HGNC:4982,HGNC:4982,HGNC:4982,NA,NA
HGNC:30348,gene,https://identifiers.org/HGNC:30348,HGNC:30348,HGNC:30348,NA,NA
HGNC:25705,gene,https://identifiers.org/HGNC:25705,HGNC:25705,HGNC:25705,NA,NA
MONDO:0017649,phenotype,http://purl.obolibrary.org/obo/MONDO_0017649,MONDO:0017649,MONDO:0017649,NA,NA
HP:0002451,phenotype,http://purl.obolibrary.org/obo/HP_0002451,HP:0002451,HP:0002451,NA,NA
HP:0001347,phenotype,http://purl.obolibrary.org/obo/HP_0001347,HP:0001347,HP:0001347,NA,NA
MONDO:0008722,phenotype,http://purl.obolibrary.org/obo/MONDO_0008722,MONDO:0008722,MONDO:0008722,NA,NA
MONDO:0011264,phenotype,http://purl.obolibrary.org/obo/MONDO_0011264,MONDO:0011264,MONDO:0011264,NA,NA
HP:0031008,phenotype,http://purl.obolibrary.org/obo/HP_0031008,HP:0031008,HP:0031008,NA,NA
MONDO:0018321,phenotype,http://purl.obolibrary.org/obo/MONDO_0018321,MONDO:0018321,MONDO:0018321,NA,NA
HGNC:21022,gene,https://identifiers.org/HGNC:21022,HGNC:21022,HGNC:21022,NA,NA
MONDO:0971063,phenotype,http://purl.obolibrary.org/obo/MONDO_0971063,MONDO:0971063,MONDO:0971063,NA,NA
HGNC:20609,gene,https://identifiers.org/HGNC:20609,HGNC:20609,HGNC:20609,NA,NA
MONDO:0011200,phenotype,http://purl.obolibrary.org/obo/MONDO_0011200,MONDO:0011200,MONDO:0011200,NA,NA
