subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
MONDO:0019173,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0018020,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
HGNC:29217,RO:0002200,HP:0031354,https://www.ncbi.nlm.nih.gov/pubmed/29556724,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0009904,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
HP:0031354,biolink:subclass_of,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,subclass of,NA,NA
MONDO:0015346,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
HGNC:7869,RO:0002200,HP:0100785,https://www.ncbi.nlm.nih.gov/pubmed/22926851,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0018546,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
HP:5200292,biolink:subclass_of,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,subclass of,NA,NA
MONDO:0007053,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
HP:0031355,biolink:subclass_of,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,subclass of,NA,NA
HGNC:2321,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0005619,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0008311,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0005459,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0010200,RO:0002200,HP:0100785,https://www.ncbi.nlm.nih.gov/pubmed/29914392,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0100429,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
HGNC:13013,RO:0002200,HP:0100785,https://www.ncbi.nlm.nih.gov/pubmed/25728775,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
HGNC:2711,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
HGNC:7764,RO:0002200,HP:0100785,https://www.ncbi.nlm.nih.gov/pubmed/33439489,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0019538,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0016603,RO:0002200,HP:0100785,NA,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
MONDO:0030917,RO:0002200,HP:0031354,https://www.ncbi.nlm.nih.gov/pubmed/28191889,This edge comes from the Monarch Initiative 2025.,2025-10-21,0002200,NA,NA
