id,semantic_groups,uri,preflabel,name,synonyms,description
MONDO:0019173,disease,http://purl.obolibrary.org/obo/MONDO_0019173,rabies,rabies,NA,NA
HP:0100785,phenotype,http://purl.obolibrary.org/obo/HP_0100785,Insomnia,Insomnia,NA,NA
MONDO:0018020,disease,http://purl.obolibrary.org/obo/MONDO_0018020,mercury poisoning,mercury poisoning,NA,NA
HGNC:29217,gene,https://identifiers.org/HGNC:29217,PRR12,proline rich 12,KIAA1205|NOC,"This gene encodes a proline-rich protein that contains two A-T hook DNA binding domains. A chromosomal translocation and gene fusion between this gene and zinc finger, MIZ-type containing 1 (Gene ID: 57178) may underlie intellectual disability and neuropsychiatric problems in a human patient. Enriched expression of this gene in embryonic mouse brain suggests that this gene may play a role in nervous system development. [provided by RefSeq, Jul 2016]."
HP:0031354,phenotype,http://purl.obolibrary.org/obo/HP_0031354,Sleep onset insomnia,Sleep onset insomnia,NA,NA
MONDO:0009904,disease,http://purl.obolibrary.org/obo/MONDO_0009904,Gitelman syndrome,Gitelman syndrome,NA,NA
MONDO:0015346,disease,http://purl.obolibrary.org/obo/MONDO_0015346,epilepsy with eyelid myoclonia,epilepsy with eyelid myoclonia,NA,NA
HGNC:7869,gene,https://identifiers.org/HGNC:7869,NOL3,nucleolar protein 3,ARC|FCM|MYOCL1|MYP|NOP|NOP30,"This gene encodes an anti-apoptotic protein that has been shown to down-regulate the enzyme activities of caspase 2, caspase 8 and tumor protein p53. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010]."
MONDO:0018546,disease,http://purl.obolibrary.org/obo/MONDO_0018546,serotonin syndrome,serotonin syndrome,NA,NA
HP:5200292,phenotype,http://purl.obolibrary.org/obo/HP_5200292,Non-restorative sleep,Non-restorative sleep,NA,NA
MONDO:0007053,disease,http://purl.obolibrary.org/obo/MONDO_0007053,"restless legs syndrome, susceptibility to, 1","restless legs syndrome, susceptibility to, 1",NA,NA
HP:0031355,phenotype,http://purl.obolibrary.org/obo/HP_0031355,Maintenance insomnia,Maintenance insomnia,NA,NA
HGNC:2321,gene,https://identifiers.org/HGNC:2321,CPOX,coproporphyrinogen oxidase,COX|CPO|CPX|HARPO|HCP,"The protein encoded by this gene is the sixth enzyme of the heme biosynthetic pathway. The encoded enzyme is soluble and found in the intermembrane space of mitochondria. This enzyme catalyzes the stepwise oxidative decarboxylation of coproporphyrinogen III to protoporphyrinogen IX, a precursor of heme. Defects in this gene are a cause of hereditary coproporphyria (HCP).[provided by RefSeq, Oct 2009]."
MONDO:0005619,disease,http://purl.obolibrary.org/obo/MONDO_0005619,typhoid fever,typhoid fever,NA,NA
MONDO:0008311,disease,http://purl.obolibrary.org/obo/MONDO_0008311,progeria-short stature-pigmented nevi syndrome,progeria-short stature-pigmented nevi syndrome,NA,NA
MONDO:0005459,disease,http://purl.obolibrary.org/obo/MONDO_0005459,human African trypanosomiasis,human African trypanosomiasis,NA,NA
MONDO:0010200,disease,http://purl.obolibrary.org/obo/MONDO_0010200,Wilson disease,Wilson disease,NA,NA
MONDO:0100429,disease,http://purl.obolibrary.org/obo/MONDO_0100429,intrahepatic cholestasis of pregnancy,intrahepatic cholestasis of pregnancy,NA,NA
