id,semantic_groups,uri,preflabel,name,synonyms,description
HGNC:1591,gene,NA,CCNF,cyclin F,FBX1|FBXO1|FTDALS5,"This gene encodes a member of the cyclin family. Cyclins are important regulators of cell cycle transitions through their ability to bind and activate cyclin-dependent protein kinases. This member also belongs to the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs class and it was one of the first proteins in which the F-box motif was identified. [provided by RefSeq, Jul 2008]."
HP:0002145,phenotype,NA,Frontotemporal dementia,Frontotemporal dementia,NA,NA
MONDO:0971063,disease,NA,autosomal dominant dopa-responsive dystonia,autosomal dominant dopa-responsive dystonia,NA,NA
HP:0001300,phenotype,NA,Parkinsonism,Parkinsonism,NA,NA
HGNC:30213,gene,NA,ATP13A2,ATPase cation transporting 13A2,CLN12|HSA9947|KRPPD|PARK9|SPG78,"This gene encodes a member of the P5 subfamily of ATPases which transports inorganic cations as well as other substrates. Mutations in this gene are associated with Kufor-Rakeb syndrome (KRS), also referred to as Parkinson disease 9. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Nov 2008]."
HGNC:28912,gene,NA,WDR45,WD repeat domain 45,JM5|NBIA4|NBIA5|WDRX1|WIPI-4|WIPI4,"This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of approximately 40 amino acids typically bracketed by gly-his and trp-asp (GH-WD), which may facilitate formation of heterotrimeric or multiprotein complexes. Members of this family are involved in a variety of cellular processes, including cell cycle progression, signal transduction, apoptosis, and gene regulation. This gene has a pseudogene at chromosome 4q31.3. Multiple alternatively spliced transcript variants encoding distinct isoforms have been found for this gene, but the biological validity and full-length nature of some variants have not been determined. [provided by RefSeq, Jul 2008]."
MONDO:0014975,disease,NA,autosomal recessive spastic paraplegia type 78,autosomal recessive spastic paraplegia type 78,NA,NA
HP:0000726,phenotype,NA,Dementia,Dementia,NA,NA
MONDO:0014387,disease,NA,"leukoencephalopathy, progressive, with ovarian failure","leukoencephalopathy, progressive, with ovarian failure",NA,NA
MONDO:0013737,disease,NA,hereditary spastic paraplegia 46,hereditary spastic paraplegia 46,NA,NA
